halt_punkt_id,halt_punkt_diva,halt_id,GPS_Latitude,GPS_Longitude,GPS_Bearing,halt_punkt_ist_aktiv
10667,2,2845,"47,376601","8,559691",241,False
10668,10,2807,"47,359529","8,507386",148,True
10669,11,1309,"47,398499","8,533033",359,True
10670,2,2092,"47,351011","8,583309",270,False
10672,10,1310,"47,390759","8,479495",30,True
10674,0,1543,"47,396090","8,545105",124,True
10675,1,2035,"47,373298","8,538303",359,True
10676,11,2428,"47,358349","8,586259",271,True
10677,5,1938,"47,376941","8,544151",41,False
10678,0,2256,"47,376049","8,537525",29,False
10679,10,2748,"47,383538","8,549228",309,True
10680,0,2529,"47,380243","8,520091",117,True
10681,1,588,"47,450074","8,564155",359,True
10682,11,2673,"47,388311","8,536361",0,True
10683,1,2092,"47,350779","8,584071",90,False
10684,11,2437,"47,358665","8,589787",251,False
10685,1,2113,"47,361851","8,560400",286,False
10686,10,1270,"47,368074","8,495694",43,False
10687,0,2110,"47,360035","8,568583",123,True
10688,1,2590,"47,366466","8,541003",251,False
10690,0,1309,"47,398207","8,533398",164,False
10691,81,1686,"47,425602","8,474290",,True
10692,10,2752,"47,390921","8,536216",175,True
10693,3,1535,"47,378241","8,510025",260,False
10694,0,2113,"47,361693","8,560913",121,True
10695,2,1528,"47,369661","8,538678",205,False
10696,12,1905,"47,363923","8,566494",111,True
10697,10,2144,"47,382271","8,507166",,True
10699,0,2292,"47,388801","8,546384",159,True
10700,0,2295,"47,357915","8,571900",134,True
10701,0,2086,"47,384254","8,540210",147,False
10702,13,2526,"47,382231","8,514317",37,True
10703,21,2539,"47,392568","8,470708",51,False
10704,11,2789,"47,393300","8,529950",105,False
10705,11,2019,"47,398580","8,454106",263,True
10706,1,2535,"47,387922","8,485842",284,True
10707,0,2509,"47,385629","8,542212",152,True
10709,0,2294,"47,382045","8,535053",135,True
10710,11,2113,"47,361894","8,560599",274,False
10711,1,2110,"47,360218","8,568189",284,False
10712,0,2022,"47,388461","8,540536",159,True
10714,10,2247,"47,374653","8,524387",206,True
10715,0,2088,"47,379887","8,542531",163,False
10716,0,2712,"47,392496","8,523783",142,False
10718,1,1311,"47,409967","8,546241",353,False
10719,10,2638,"47,359180","8,557498",36,True
10720,1,2046,"47,406150","8,564287",50,False
10721,0,2731,"47,402157","8,496622",88,True
10723,11,2752,"47,390921","8,536308",354,True
10724,1,2482,"47,406776","8,585752",91,False
10725,10,2849,"47,423771","8,496640",313,True
10726,0,2308,"47,360301","8,565213",98,True
10727,0,2313,"47,406052","8,548412",172,False
10728,11,2693,"47,392108","8,533432",130,True
10729,11,2621,"47,373217","8,561672",134,True
10730,0,2788,"47,350594","8,560966",338,False
10731,4,1531,"47,368429","8,561055",,True
10732,0,2711,"47,403643","8,486556",105,True
10733,11,2526,"47,383091","8,514758",285,False
10734,1,2375,"47,403754","8,557162",68,False
10735,10,1503,"47,355180","8,600911",301,False
10736,10,2437,"47,358642","8,590277",65,False
10737,12,2113,"47,361398","8,560708",346,False
10738,2,1309,"47,398546","8,532729",52,True
10739,0,2804,"47,399669","8,504945",137,False
10740,0,2809,"47,351910","8,507405",88,True
10741,0,2413,"47,360526","8,531605",162,True
10742,50,3010,"47,390386","8,394001",,True
10743,0,1531,"47,368022","8,560371",137,False
10744,0,2810,"47,374323","8,485079",215,True
10745,10,1523,"47,395845","8,532091",184,True
10746,20,2666,"47,409030","8,508219",26,False
10747,10,2591,"47,391903","8,483662",97,True
10748,0,1905,"47,364034","8,566205",30,False
10750,0,2853,"47,397520","8,507790",126,False
10751,80,1686,"47,425638","8,474304",,True
10752,10,2693,"47,392674","8,532543",310,True
10753,0,1541,"47,377143","8,539812",113,False
10754,3,1893,"47,364139","8,531904",195,True
10755,1,2313,"47,406394","8,548300",332,True
10757,2,2121,"47,354185","8,575316",148,True
10758,10,1541,"47,376848","8,540508",81,False
10759,0,2046,"47,406063","8,564020",229,False
10760,0,1906,"47,374495","8,521242",103,True
10761,2,2113,"47,361600","8,561202",114,False
10763,0,2526,"47,382451","8,514851",177,False
10764,11,2721,"47,357080","8,598053",321,True
10765,2,1311,"47,410225","8,546564",269,True
10767,0,2799,"47,374961","8,552479",226,True
10768,0,2276,"47,403601","8,547871",213,True
10769,1,2302,"47,378835","8,545303",152,True
10770,3,1311,"47,410240","8,547108",82,True
10771,0,1571,"47,405569","8,481386",302,False
10772,50,2370,"47,420636","8,368528",22,False
10773,10,2113,"47,361685","8,560807",107,False
10774,0,1890,"47,377488","8,543169",156,True
10777,10,2526,"47,382970","8,515127",122,False
10778,0,2815,"47,403125","8,591066",94,True
10780,0,1873,"47,416633","8,545293",196,False
10781,0,1542,"47,377305","8,541629",197,False
10782,11,2598,"47,367394","8,552692",308,False
10784,1,2630,"47,390246","8,510479",292,True
10785,10,2836,"47,356545","8,510040",147,True
10786,2,1531,"47,367752","8,560312",56,True
10787,1,2406,"47,401633","8,551473",56,False
10788,91,2120,"47,322260","8,659910",115,False
10789,1,2289,"47,380096","8,537661",11,False
10790,0,1305,"47,370542","8,549037",112,True
10793,10,2840,"47,372639","8,494156",200,True
10794,1,2701,"47,379369","8,559855",94,False
10795,10,2505,"47,397208","8,461842",103,True
10796,10,2787,"47,382064","8,529319",207,True
10797,1,2256,"47,375809","8,537242",252,False
10798,10,2615,"47,357891","8,555022",68,True
10799,1,2641,"47,372998","8,547287",326,True
10800,51,2368,"47,414468","8,414084",358,True
10801,1,2590,"47,366466","8,541003",,False
10802,80,2406,"47,402307","8,553369",57,True
10803,10,2826,"47,376065","8,510935",228,True
10804,0,2804,"47,399669","8,504945",122,False
10805,50,2496,"47,401996","8,381027",228,False
10806,50,2491,"47,400861","8,387949",297,True
10807,51,2491,"47,400733","8,388118",108,True
10809,81,2812,"47,404862","8,576449",248,True
10810,20,2546,"47,387446","8,472145",119,True
10811,20,2695,"47,402860","8,486567",127,True
10812,20,2683,"47,404298","8,533285",62,True
10813,50,2476,"47,403366","8,447943",359,True
10814,51,2114,"47,346560","8,597613",272,True
10815,21,2658,"47,326430","8,514754",302,True
10816,20,2539,"47,392673","8,471307",293,True
10817,50,1520,"47,392090","8,428120",61,True
10818,21,2541,"47,390889","8,474000",126,True
10819,50,2643,"47,359716","8,535401",173,True
10821,50,2351,"47,370534","8,425012",247,True
10822,20,2425,"47,426212","8,496331",282,True
10823,20,2564,"47,375330","8,485112",98,True
10824,20,2636,"47,416783","8,522754",213,True
10825,10,2622,"47,390119","8,532583",138,True
10826,21,2672,"47,403658","8,530542",339,True
10827,20,2784,"47,398948","8,513859",73,True
10828,51,2007,"47,394867","8,441556",264,True
10829,22,2682,"47,422552","8,538643",334,True
10830,20,2553,"47,422891","8,543607",301,True
10831,20,2816,"47,413406","8,571941",139,True
10834,10,2565,"47,348230","8,527674",221,True
10835,0,1541,"47,377094","8,539779",113,False
10836,21,2553,"47,422747","8,543684",126,True
10837,21,2537,"47,389438","8,472426",300,True
10838,11,2632,"47,355218","8,526903",10,True
10840,51,2362,"47,405526","8,447733",172,True
10841,22,2543,"47,384008","8,484421",19,True
10842,21,2678,"47,334869","8,519396",335,True
10843,12,2749,"47,394060","8,525829",88,False
10844,50,1904,"47,317302","8,549636",37,False
10845,51,1909,"47,321856","8,535232",358,True
10846,0,1406,"47,365999","8,562531",121,False
10847,52,2059,"47,398004","8,417731",346,False
10848,20,1741,"47,323204","8,514411",242,True
10849,81,1543,"47,396263","8,543903",284,False
10850,51,1405,"47,321991","8,547524",149,False
10851,81,2482,"47,406843","8,586191",95,False
10852,21,2539,"47,392544","8,470623",51,True
10854,20,2541,"47,390895","8,474088",308,True
10855,11,2778,"47,397074","8,515133",266,True
10856,21,2647,"47,406439","8,495554",315,True
10857,20,2658,"47,326569","8,514280",124,True
10858,81,2815,"47,403240","8,587623",270,False
10859,21,2764,"47,365349","8,526607",29,True
10861,51,2334,"47,415655","8,444585",300,True
10862,51,2411,"47,405591","8,473954",280,True
10863,20,2274,"47,391228","8,545626",228,True
10864,10,2540,"47,390674","8,489228",110,False
10866,21,2453,"47,414102","8,540960",238,False
10868,50,2015,"47,426846","8,364726",137,True
10869,51,1504,"47,397340","8,541422",28,False
10870,20,2532,"47,388568","8,470345",140,True
10872,20,2666,"47,409030","8,508219",24,True
10873,20,2745,"47,340986","8,525131",271,True
10874,21,2636,"47,416961","8,523036",15,True
10875,20,2672,"47,403553","8,530461",163,True
10876,53,1743,"47,301369","8,548881",83,True
10877,21,2784,"47,398991","8,513185",276,True
10878,20,2647,"47,406476","8,495449",139,True
10879,20,1885,"47,412030","8,542370",151,False
10880,21,2682,"47,422193","8,539497",81,True
10881,51,2486,"47,394176","8,380438",133,True
10882,21,2828,"47,328364","8,512848",6,True
10883,50,2369,"47,397116","8,424788",122,True
10884,10,1454,"47,412239","8,483849",147,False
10886,10,2821,"47,413701","8,477345",221,False
